initial 0	[0:1, 0:2, 0:3, 0:4, 0:5]
124	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 1:6]
125	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 1:6, 0:4]
126	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 1:6, 0:4, 1:4]
127	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 2:4]
128	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 2:4, 0:4]
129	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 2:4, 0:4, 1:4]
130	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 2:4, 0:4, 1:4, 3:5]
131	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 2:4, 3:5]
132	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 0:4]
133	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 2:4]
134	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 0:5]
135	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 0:5, 3:5]
136	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 1:4, 3:5, 1:3, 5:6]
137	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 1:4, 3:5, 1:3, 5:6, 0:5]
138	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 1:4, 2:4, 1:6]
139	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 1:4, 2:4, 1:6, 4:6]
140	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 1:6]
141	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 1:6, 1:4]
142	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 1:6, 1:3]
143	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 1:6, 1:3, 1:4]
144	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 2:4, 4:6]
145	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 2:4, 4:6, 5:6]
146	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:2, 2:4, 4:6, 5:6, 1:6]
147	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6]
148	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5]
149	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 2:6]
150	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 2:6, 0:3]
151	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 0:6]
152	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 0:6, 2:4]
153	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 0:6, 2:4, 0:4]
154	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 0:6, 2:4, 0:4, 2:5]
155	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 0:6, 2:4, 0:4, 2:5, 0:5]
156	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 0:6, 2:4, 2:6]
157	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 0:6, 2:4, 2:6, 4:6]
158	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 0:6, 2:4, 2:6, 2:5]
159	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 0:6, 1:3]
160	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 1:4]
161	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 1:4, 0:5]
162	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:5, 2:5]
163	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3]
164	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 0:4]
165	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 0:4, 1:2]
