initial 0	[0:1, 0:2, 0:3, 0:4, 0:5]
434	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 0:6, 1:6, 0:4]
435	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 0:6, 1:6, 0:4, 2:6]
436	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 0:6, 1:6, 0:4, 2:6, 1:4]
437	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 0:6, 1:6, 2:4]
438	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 0:6, 1:6, 2:4, 2:6]
439	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 0:4]
440	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 0:4]
441	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 1:3]
442	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 1:3, 1:2]
443	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 1:3, 0:4]
444	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 1:3, 0:4, 0:3]
445	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 1:3, 0:4, 1:2]
446	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 1:3, 0:4, 1:2, 0:3]
447	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 1:3, 0:4, 1:2, 2:4]
448	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 1:3, 0:4, 1:2, 2:4, 0:3]
449	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 1:3, 0:4, 1:2, 2:4, 0:3, 3:6]
initial 5	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5]
450	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 1:6]
451	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 0:6]
452	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 5:6]
453	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 5:6, 3:5]
454	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 5:6, 3:5, 2:5]
455	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 5:6, 3:5, 2:5, 4:5]
456	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 5:6, 3:5, 2:5, 4:5, 0:5]
457	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6]
458	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5]
459	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3]
460	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3, 1:3]
461	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3, 0:5]
462	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3, 0:5, 0:4]
463	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3, 2:4]
464	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3, 2:4, 0:5]
465	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3, 2:4, 0:5, 3:6]
466	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3, 2:4, 0:5, 3:6, 1:3]
467	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3, 2:4, 1:2]
468	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 0:3, 2:4, 1:2, 1:3]
469	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 3:5, 4:5]
470	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:5]
471	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:5, 0:3]
472	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:5, 0:3, 0:4]
473	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:5, 2:4]
474	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:5, 2:4, 0:3]
475	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:5, 2:4, 0:3, 4:5]
476	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:5, 2:4, 0:3, 4:5, 1:3]
477	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:5, 2:4, 1:2]
478	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:5, 2:4, 1:2, 1:6]
479	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:4]
480	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 2:5, 4:6, 0:4, 4:5]
481	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 3:6]
482	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 3:6, 1:3]
483	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 3:6, 3:5]
484	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 3:6, 3:5, 1:6]
485	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 3:6, 3:5, 0:6]
486	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 3:6, 3:5, 0:6, 0:4]
487	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 3:6, 3:5, 0:6, 0:4, 1:2]
488	[0:1, 0:2, 2:3, 3:4, 1:4, 1:5, 3:6, 3:5, 0:3]
initial 6	[0:1, 0:2, 2:3, 3:4, 3:5]
489	[0:1, 0:2, 2:3, 3:4, 3:5, 0:5, 1:3, 0:4, 0:3, 3:6]
490	[0:1, 0:2, 2:3, 3:4, 3:5, 4:6]
491	[0:1, 0:2, 2:3, 3:4, 3:5, 4:6, 1:3]
492	[0:1, 0:2, 2:3, 3:4, 3:5, 4:6, 0:4]
493	[0:1, 0:2, 2:3, 3:4, 3:5, 3:6]
494	[0:1, 0:2, 2:3, 3:4, 3:5, 3:6, 1:3]
495	[0:1, 0:2, 2:3, 3:4, 3:5, 0:6]
496	[0:1, 0:2, 2:3, 3:4, 3:5, 0:6, 0:4]
497	[0:1, 0:2, 2:3, 3:4, 3:5, 0:6, 0:4, 3:6]
498	[0:1, 0:2, 2:3, 3:4, 3:5, 0:6, 0:4, 3:6, 1:3]
499	[0:1, 0:2, 2:3, 3:4, 3:5, 0:6, 0:4, 3:6, 1:3, 0:5]
500	[0:1, 0:2, 2:3, 3:4, 3:5, 0:6, 0:4, 3:6, 1:3, 0:5, 0:3]
501	[0:1, 0:2, 2:3, 3:4, 3:5, 0:6, 0:4, 0:5]
initial 7	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 0:5]
502	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 0:5, 0:6]
503	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 0:5, 5:6]
504	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 0:5, 5:6, 0:6]
initial 8	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5]
505	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 4:6]
506	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6]
507	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6, 4:6]
508	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6, 1:4]
509	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6, 1:4, 0:5]
510	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6, 2:5]
511	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6, 2:5, 1:5]
512	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6, 2:5, 1:5, 3:5]
513	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6, 2:5, 1:5, 3:5, 1:4]
514	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6, 2:5, 1:5, 3:5, 1:4, 2:4]
515	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 4:5, 5:6, 2:5, 1:5, 3:5, 1:4, 2:4, 3:4]
initial 9	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5]
516	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 3:6]
517	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 3:6, 0:5]
518	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6]
519	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 4:6]
520	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 4:6, 3:6]
521	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 4:6, 2:6]
522	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 4:6, 2:6, 2:4]
523	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 4:6, 2:6, 2:4, 0:6]
524	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 4:6, 2:6, 2:4, 2:5]
525	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 0:5]
526	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 0:5, 0:6]
527	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 0:5, 0:6, 3:6]
528	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 1:6]
529	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 1:6, 0:6]
530	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 1:6, 0:6, 0:5]
531	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 1:6, 2:4]
532	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 1:6, 2:4, 3:4]
533	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 1:6, 2:4, 3:4, 2:6]
534	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 1:6, 2:4, 3:4, 2:6, 0:6]
535	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 1:6, 2:4, 3:4, 1:4]
536	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 5:6, 0:6]
537	[0:1, 0:2, 2:3, 1:3, 1:2, 0:3, 0:4, 3:5, 1:6]
initial 10	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 2:5]
538	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 2:5, 4:6]
539	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 2:5, 4:6, 2:6]
540	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 2:5, 2:6]
initial 11	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 4:5]
541	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 4:5, 4:6]
542	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 4:5, 5:6]
543	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 4:5, 5:6, 2:6]
544	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 4:5, 5:6, 2:6, 2:5]
545	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 4:5, 5:6, 2:5]
initial 12	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 1:5]
546	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 1:5, 1:6]
547	[0:1, 0:2, 2:3, 1:3, 1:2, 1:4, 1:5, 5:6]
initial 13	[0:1, 0:2, 2:3, 2:4, 2:5]
548	[0:1, 0:2, 2:3, 2:4, 2:5, 4:6]
549	[0:1, 0:2, 2:3, 2:4, 2:5, 2:6]
initial 14	[0:1, 0:2, 2:3, 2:4, 4:5]
550	[0:1, 0:2, 2:3, 2:4, 4:5, 3:6]
551	[0:1, 0:2, 2:3, 2:4, 4:5, 0:6]
initial 15	[0:1, 0:2, 2:3, 2:4, 0:5]
552	[0:1, 0:2, 2:3, 2:4, 0:5, 2:6]
initial 16	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5]
553	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 2:6]
554	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 2:6, 2:5]
555	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6]
556	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5]
557	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6]
558	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3]
559	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 2:3]
560	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 2:3, 3:6]
561	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 2:3, 3:6, 1:4]
562	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 2:3, 3:6, 1:4, 3:4]
563	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 2:3, 3:6, 3:4]
564	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 2:3, 3:6, 3:4, 2:6]
565	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 0:5]
566	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 0:6]
567	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 0:6, 2:3]
568	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 0:6, 2:3, 3:6]
569	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 0:6, 2:3, 3:6, 2:6]
570	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 1:6, 1:3, 0:6, 2:3, 3:6, 3:4]
571	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 4:6, 2:5, 0:6]
572	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6]
573	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3]
574	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3, 2:5]
575	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3, 2:5, 0:4]
576	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3, 2:5, 0:4, 2:3]
577	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3, 2:5, 0:4, 1:5]
578	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3, 2:5, 0:4, 1:5, 2:3]
579	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3, 2:5, 0:4, 1:5, 2:3, 2:6]
580	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3, 2:5, 0:4, 1:5, 2:3, 1:6]
581	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3, 2:5, 1:5]
582	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:3, 2:5, 1:5, 2:6]
583	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 2:6]
584	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 2:6, 2:5]
585	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5]
586	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5, 2:5]
587	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5, 2:5, 4:5]
588	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5, 2:5, 4:5, 2:3]
589	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5, 1:3]
590	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5, 1:3, 2:6]
591	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5, 1:3, 2:3]
592	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5, 1:3, 2:3, 0:5]
593	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5, 1:3, 2:3, 2:6]
594	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 1:5, 1:3, 2:3, 2:6, 3:6]
595	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:5]
596	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:5, 1:5]
597	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:5, 0:5]
598	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 2:5]
599	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6]
600	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:3]
601	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6]
602	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:5]
603	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:5, 1:3]
604	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:5, 1:3, 1:4]
605	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:3]
606	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:4]
607	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:4, 3:6]
608	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:4, 3:6, 4:5]
609	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:4, 3:6, 4:5, 1:3]
610	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:4, 3:6, 1:3]
611	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 5:6, 4:6, 1:6, 1:4, 2:3]
612	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:5, 0:5, 4:6]
613	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:5, 0:5, 4:6, 2:6]
614	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:5, 0:5, 4:6, 2:6, 1:3]
615	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:5, 0:5, 4:6, 2:6, 1:3, 2:3]
616	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:5, 0:5, 2:6]
617	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:5, 0:5, 0:6]
618	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:5, 0:5, 0:6, 0:4]
619	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:6]
620	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:6, 2:3]
621	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 2:6, 2:3, 2:5]
622	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6]
623	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 2:3]
624	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 2:3, 2:5]
625	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 2:3, 0:6]
626	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 2:3, 0:6, 0:5]
627	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4]
628	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:6]
629	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 3:4]
630	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 3:4, 2:6]
631	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 3:4, 2:6, 2:3]
632	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 3:4, 2:3]
633	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 3:4, 2:3, 1:3]
634	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:3]
635	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5]
636	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 2:6]
637	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 2:6, 2:3]
638	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 2:6, 1:3]
639	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 0:5]
640	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 0:5, 2:6]
641	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 0:5, 2:6, 1:3]
642	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 0:5, 2:6, 1:3, 2:3]
643	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 0:5, 2:6, 1:3, 5:6]
644	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 0:5, 2:6, 1:3, 5:6, 1:6]
645	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:5, 4:6, 1:4, 2:5, 0:5, 2:6, 2:3]
646	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:6]
647	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:6, 1:3]
648	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:6, 2:5]
649	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:6, 2:5, 2:6]
650	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:6, 2:5, 1:5]
651	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:6, 2:5, 1:5, 0:5]
652	[0:1, 0:2, 1:2, 0:3, 2:4, 3:5, 1:6, 2:5, 1:5, 0:5, 1:4]
initial 17	[0:1, 0:2, 1:2, 0:3, 2:4, 1:5]
653	[0:1, 0:2, 1:2, 0:3, 2:4, 1:5, 1:6]
initial 18	[0:1, 0:2, 1:2, 0:3, 2:4, 2:5]
654	[0:1, 0:2, 1:2, 0:3, 2:4, 2:5, 4:6]
655	[0:1, 0:2, 1:2, 0:3, 2:4, 2:5, 2:6]
656	[0:1, 0:2, 1:2, 0:3, 2:4, 2:5, 0:6]
initial 19	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5]
657	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 3:6]
658	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6]
659	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6]
660	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 2:3]
661	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 2:3, 1:4]
662	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 2:3, 3:6]
663	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 1:4]
664	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 1:4, 2:5]
665	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 1:4, 2:5, 2:3]
666	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 1:4, 2:5, 2:3, 0:5]
667	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 1:4, 0:5]
668	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 0:5]
669	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 1:6, 0:5, 0:6]
670	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 2:5]
671	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 5:6, 3:6]
672	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 1:6]
673	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 1:6, 2:3]
674	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 1:6, 2:3, 1:4]
675	[0:1, 0:2, 1:2, 0:3, 3:4, 3:5, 1:6, 1:4]
initial 20	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5]
676	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6]
677	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6]
678	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 2:5]
679	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 2:5, 3:6]
680	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 2:5, 3:6, 2:6]
681	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 2:5, 0:6]
682	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 2:5, 0:6, 0:5]
683	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 1:6]
684	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 1:6, 4:5]
685	[0:1, 0:2, 1:2, 0:3, 3:4, 0:4, 1:5, 5:6, 4:6, 0:6]
